from,to,cost
road_1,road_2,650
road_2,road_1,650
road_2,road_3,650
road_3,road_2,650
road_3,road_4,650
road_4,road_3,650
road_3,road_7,1900
road_7,road_3,2100
road_4,road_5,1500
road_5,road_4,1500
road_4,road_7,1800
road_7,road_4,1900
road_7,road_5,1800
road_5,road_7,2200
road_1,road_1,0
road_2,road_2,0
road_3,road_3,0
road_4,road_4,0
road_5,road_5,0
road_7,road_7,0
