date,number
2020/01/01 00:05,1122
2020/01/01 00:10,856
2020/01/01 00:15,765
2020/01/01 00:20,651
2020/01/01 00:25,997
2020/01/01 00:30,848
2020/01/01 00:35,572
2020/01/01 00:40,645
2020/01/01 00:45,529
2020/01/01 00:50,505
2020/01/01 00:55,489
2020/01/01 01:00,509
2020/01/01 01:05,439
2020/01/01 01:10,515
2020/01/01 01:15,269
2020/01/01 01:20,326
2020/01/01 01:25,333
2020/01/01 01:30,387
2020/01/01 01:35,345
2020/01/01 01:40,359
2020/01/01 01:45,366
2020/01/01 01:50,314
2020/01/01 01:55,312
2020/01/01 02:00,272
2020/01/01 02:05,421
2020/01/01 02:10,302
2020/01/01 02:15,370
2020/01/01 02:20,260
2020/01/01 02:25,266
2020/01/01 02:30,263
2020/01/01 02:35,568
2020/01/01 02:40,484
2020/01/01 02:45,376
2020/01/01 02:50,321
2020/01/01 02:55,162
2020/01/01 03:00,188
2020/01/01 03:05,176
2020/01/01 03:10,166
2020/01/01 03:15,609
2020/01/01 03:20,491
2020/01/01 03:25,337
2020/01/01 03:30,324
2020/01/01 03:35,415
2020/01/01 03:40,520
2020/01/01 03:45,388
2020/01/01 03:50,351
2020/01/01 03:55,220
2020/01/01 04:00,317
2020/01/01 04:05,282
2020/01/01 04:10,197
2020/01/01 04:15,245
2020/01/01 04:20,255
2020/01/01 04:25,283
2020/01/01 04:30,325
2020/01/01 04:35,290
2020/01/01 04:40,443
2020/01/01 04:45,898
2020/01/01 04:50,715
2020/01/01 04:55,551
2020/01/01 05:00,424
2020/01/01 05:05,317
2020/01/01 05:10,319
2020/01/01 05:15,276
2020/01/01 05:20,190
2020/01/01 05:25,349
2020/01/01 05:30,272
2020/01/01 05:35,296
2020/01/01 05:40,286
2020/01/01 05:45,402
2020/01/01 05:50,446
2020/01/01 05:55,507
2020/01/01 06:00,361
2020/01/01 06:05,311
2020/01/01 06:10,296
2020/01/01 06:15,405
2020/01/01 06:20,489
2020/01/01 06:25,804
2020/01/01 06:30,588
2020/01/01 06:35,439
2020/01/01 06:40,475
2020/01/01 06:45,587
2020/01/01 06:50,719
2020/01/01 06:55,1265
2020/01/01 07:00,980
2020/01/01 07:05,1169
2020/01/01 07:10,830
2020/01/01 07:15,1267
2020/01/01 07:20,981
2020/01/01 07:25,828
2020/01/01 07:30,1113
2020/01/01 07:35,1223
2020/01/01 07:40,1377
2020/01/01 07:45,1580
2020/01/01 07:50,1137
2020/01/01 07:55,1104
2020/01/01 08:00,1572
2020/01/01 08:05,1345
2020/01/01 08:10,1250
2020/01/01 08:15,1989
2020/01/01 08:20,2129
2020/01/01 08:25,2006
2020/01/01 08:30,1554
2020/01/01 08:35,1573
2020/01/01 08:40,2337
2020/01/01 08:45,1116
2020/01/01 08:50,1179
2020/01/01 08:55,2350
2020/01/01 09:00,1516
2020/01/01 09:05,2021
2020/01/01 09:10,1442
2020/01/01 09:15,1973
2020/01/01 09:20,1757
2020/01/01 09:25,2659
2020/01/01 09:30,2323
2020/01/01 09:35,2108
2020/01/01 09:40,2759
2020/01/01 09:45,2290
2020/01/01 09:50,3637
2020/01/01 09:55,2582
2020/01/01 10:00,1949
2020/01/01 10:05,2379
2020/01/01 10:10,2915
2020/01/01 10:15,3870
2020/01/01 10:20,2598
2020/01/01 10:25,2013
2020/01/01 10:30,2530
2020/01/01 10:35,2549
2020/01/01 10:40,3234
2020/01/01 10:45,3551
2020/01/01 10:50,2682
2020/01/01 10:55,3190
2020/01/01 11:00,3802
2020/01/01 11:05,4410
2020/01/01 11:10,4523
2020/01/01 11:15,3257
2020/01/01 11:20,4089
2020/01/01 11:25,3504
2020/01/01 11:30,4039
2020/01/01 11:35,3659
2020/01/01 11:40,4377
2020/01/01 11:45,2887
2020/01/01 11:50,2967
2020/01/01 11:55,4246
2020/01/01 12:00,3733
2020/01/01 12:05,3885
2020/01/01 12:10,4032
2020/01/01 12:15,4666
2020/01/01 12:20,4093
2020/01/01 12:25,3710
2020/01/01 12:30,4208
2020/01/01 12:35,3460
2020/01/01 12:40,4610
2020/01/01 12:45,3358
2020/01/01 12:50,3846
2020/01/01 12:55,5105
2020/01/01 13:00,4505
2020/01/01 13:05,3562
2020/01/01 13:10,3276
2020/01/01 13:15,3729
2020/01/01 13:20,4890
2020/01/01 13:25,4047
2020/01/01 13:30,3987
2020/01/01 13:35,3200
2020/01/01 13:40,3337
2020/01/01 13:45,3524
2020/01/01 13:50,4789
2020/01/01 13:55,4703
2020/01/01 14:00,4258
2020/01/01 14:05,4045
2020/01/01 14:10,4134
2020/01/01 14:15,4254
2020/01/01 14:20,4054
2020/01/01 14:25,4849
2020/01/01 14:30,4001
2020/01/01 14:35,4126
2020/01/01 14:40,4564
2020/01/01 14:45,4086
2020/01/01 14:50,3688
2020/01/01 14:55,5455
2020/01/01 15:00,4133
2020/01/01 15:05,4593
2020/01/01 15:10,4131
2020/01/01 15:15,5491
2020/01/01 15:20,4967
2020/01/01 15:25,3760
2020/01/01 15:30,3766
2020/01/01 15:35,4297
2020/01/01 15:40,3898
2020/01/01 15:45,3805
2020/01/01 15:50,4120
2020/01/01 15:55,5511
2020/01/01 16:00,4788
2020/01/01 16:05,3940
2020/01/01 16:10,3896
2020/01/01 16:15,5270
2020/01/01 16:20,4289
2020/01/01 16:25,4086
2020/01/01 16:30,5076
2020/01/01 16:35,4997
2020/01/01 16:40,4844
2020/01/01 16:45,4305
2020/01/01 16:50,5353
2020/01/01 16:55,5722
2020/01/01 17:00,6541
2020/01/01 17:05,5181
2020/01/01 17:10,5108
2020/01/01 17:15,5786
2020/01/01 17:20,6717
2020/01/01 17:25,6670
2020/01/01 17:30,5329
2020/01/01 17:35,5262
2020/01/01 17:40,5515
2020/01/01 17:45,5764
2020/01/01 17:50,4439
2020/01/01 17:55,4891
2020/01/01 18:00,4495
2020/01/01 18:05,3997
2020/01/01 18:10,4002
2020/01/01 18:15,4285
2020/01/01 18:20,5185
2020/01/01 18:25,4916
2020/01/01 18:30,4044
2020/01/01 18:35,4761
2020/01/01 18:40,3963
2020/01/01 18:45,4550
2020/01/01 18:50,4221
2020/01/01 18:55,4406
2020/01/01 19:00,3671
2020/01/01 19:05,4026
2020/01/01 19:10,4314
2020/01/01 19:15,4322
2020/01/01 19:20,5094
2020/01/01 19:25,4862
2020/01/01 19:30,4468
2020/01/01 19:35,3585
2020/01/01 19:40,3864
2020/01/01 19:45,3256
2020/01/01 19:50,3327
2020/01/01 19:55,3868
